Frame,CORI_Roll,CORI_Pitch,CORI_Yaw,IORI_Roll,IORI_Pitch,IORI_Yaw,CORI_Pitch_Half,GRAV_X,GRAV_Y,GRAV_Z,GRAV_Roll,GRAV_Pitch
111,-0.56,57.12,-1.51,0.0,-10.65,0.0,28.56,-27632,16810,-5244,-121.31,-9.21
112,-1.16,55.07,-2.77,0.0,-7.75,0.0,27.54,-26938,17833,-5470,-123.5,-9.61
113,-1.25,53.15,-3.61,0.0,-5.26,0.0,26.58,-26284,18770,-5519,-125.53,-9.7
114,-1.16,51.16,-4.52,0.0,-2.95,0.0,25.58,-25565,19734,-5533,-127.67,-9.72
115,-0.24,48.5,-4.9,0.0,-0.27,0.0,24.25,-24616,20983,-5234,-130.44,-9.19
116,1.84,43.72,-4.51,0.0,4.06,0.0,21.86,-22844,23075,-4399,-135.29,-7.72
117,4.22,35.22,-4.44,0.0,11.31,0.0,17.61,-19226,26342,-3174,-143.88,-5.56
118,5.84,22.86,-5.37,0.0,20.0,0.0,11.43,-13094,29964,-2089,-156.4,-3.66
119,7.65,8.49,-7.03,0.0,20.0,0.0,4.24,-5144,32349,-861,-170.96,-1.51
120,9.88,-6.58,-8.2,0.0,20.0,0.0,-3.29,3432,32583,523,173.99,0.91
121,9.75,-22.97,-6.61,0.0,20.0,0.0,-11.49,12311,30366,56,157.93,0.1
122,7.49,-37.62,-5.24,0.0,20.0,0.0,-18.81,19434,26323,-1763,143.56,-3.08
123,6.77,-48.77,-7.54,0.0,20.0,0.0,-24.39,24181,21968,-2529,132.25,-4.43
124,5.86,-58.73,-9.24,0.0,20.0,0.0,-29.37,27636,17273,-3403,122.01,-5.96
125,5.49,-66.26,-10.09,0.0,20.0,0.0,-33.13,29660,13360,-3930,114.25,-6.89
126,7.63,-69.59,-11.53,0.0,20.0,0.0,-34.79,30391,11714,-3584,111.08,-6.28
127,7.57,-70.71,-10.1,0.0,18.96,0.0,-35.36,30553,11254,-3681,110.22,-6.45
128,4.99,-70.9,-6.26,0.0,17.1,0.0,-35.45,30471,11311,-4150,110.37,-7.28
129,1.47,-70.42,-2.4,0.0,14.9,0.0,-35.21,30258,11615,-4818,111.0,-8.46
130,-0.03,-69.67,-0.52,0.0,12.73,0.0,-34.84,30052,12027,-5091,111.81,-8.94
131,-0.16,-68.56,-0.17,0.0,10.45,0.0,-34.28,29803,12627,-5100,112.96,-8.95
132,-0.24,-66.88,0.34,0.0,7.9,0.0,-33.44,29413,13504,-5117,114.66,-8.98
133,-0.08,-63.73,1.27,0.0,4.27,0.0,-31.86,28603,15161,-5063,117.93,-8.89
134,0.46,-57.62,1.82,0.0,-1.65,0.0,-28.81,26821,18172,-4904,124.12,-8.61
135,2.62,-47.53,0.91,0.0,-10.56,0.0,-23.76,23273,22704,-4073,134.29,-7.14
136,5.88,-33.71,-1.44,0.0,-20.0,0.0,-16.86,17370,27698,-2188,147.91,-3.83
137,5.96,-18.2,-2.47,0.0,-20.0,0.0,-9.1,9480,31314,-1797,163.16,-3.14
138,3.86,-2.8,-1.07,0.0,-20.0,0.0,-1.4,788,32627,-2917,178.62,-5.11
139,3.4,11.87,1.98,0.0,-20.0,0.0,5.94,-7774,31671,-3194,-166.21,-5.59
140,4.96,24.15,3.22,0.0,-20.0,0.0,12.08,-14377,29344,-2430,-153.9,-4.25
141,4.82,34.52,1.66,0.0,-20.0,0.0,17.26,-19244,26374,-2775,-143.88,-4.86
142,1.65,43.57,-2.14,0.0,-20.0,0.0,21.79,-22864,23054,-4399,-135.24,-7.72
143,-3.82,50.53,-7.7,0.0,-20.0,0.0,25.26,-25171,19934,-6530,-128.38,-11.5
144,-8.21,54.64,-12.62,0.0,-20.0,0.0,27.32,-26315,17888,-7821,-124.21,-13.81
145,-9.99,55.79,-15.11,0.0,-19.22,0.0,27.9,-26562,17299,-8294,-123.07,-14.66
146,-9.74,54.6,-15.29,0.0,-16.26,0.0,27.3,-26146,17920,-8301,-124.43,-14.68
147,-8.38,52.64,-13.84,0.0,-12.76,0.0,26.32,-25538,18906,-7999,-126.51,-14.13
148,-6.57,50.98,-11.66,0.0,-9.85,0.0,25.49,-25073,19733,-7454,-128.2,-13.15
149,-5.25,50.09,-10.25,0.0,-7.98,0.0,25.05,-24838,20181,-7029,-129.09,-12.39
150,-4.3,49.73,-10.02,0.0,-6.85,0.0,24.87,-24724,20431,-6700,-129.57,-11.8
151,-3.8,49.65,-10.58,0.0,-6.12,0.0,24.83,-24661,20562,-6529,-129.82,-11.49
152,-3.45,49.71,-11.08,0.0,-5.58,0.0,24.85,-24652,20613,-6403,-129.9,-11.27
153,-3.06,49.8,-11.17,0.0,-5.1,0.0,24.9,-24687,20615,-6260,-129.86,-11.01
154,-2.84,49.62,-11.16,0.0,-4.44,0.0,24.81,-24630,20706,-6182,-130.05,-10.88
155,-2.9,48.83,-11.38,0.0,-3.28,0.0,24.42,-24335,21040,-6222,-130.85,-10.95
156,-2.71,46.79,-11.56,0.0,-1.13,0.0,23.39,-23561,21906,-6214,-132.92,-10.93
157,-1.4,42.34,-10.62,0.0,3.0,0.0,21.17,-21892,23685,-5775,-137.25,-10.15
158,1.51,33.01,-8.87,0.0,11.12,0.0,16.51,-17929,27055,-4497,-146.47,-7.89
159,5.17,16.84,-6.19,0.0,20.0,0.0,8.42,-9883,31157,-2283,-162.4,-4.0
160,4.81,-3.9,-1.53,0.0,20.0,0.0,-1.95,1334,32662,-2257,177.66,-3.95
161,-0.93,-23.7,2.66,0.0,20.0,0.0,-11.85,12004,29982,-5538,158.18,-9.73
162,-6.2,-38.69,4.53,0.0,20.0,0.0,-19.34,19202,25359,-7863,142.87,-13.88
163,-8.38,-50.73,4.3,0.0,20.0,0.0,-25.36,24258,20509,-8039,130.21,-14.2
164,-10.91,-59.04,3.55,0.0,20.0,0.0,-29.52,27206,16288,-8258,120.91,-14.6
165,-12.18,-62.88,4.09,0.0,20.0,0.0,-31.44,28241,14426,-8245,117.06,-14.57
166,-11.62,-64.93,4.26,0.0,19.82,0.0,-32.47,28779,13531,-7895,115.18,-13.94
167,-9.5,-65.76,4.03,0.0,18.57,0.0,-32.88,28994,13400,-7313,114.8,-12.9
168,-6.94,-65.92,3.16,0.0,16.8,0.0,-32.96,29060,13574,-6703,115.04,-11.8
169,-4.75,-65.69,2.07,0.0,14.88,0.0,-32.84,29048,13840,-6192,115.48,-10.89
170,-3.61,-64.96,1.52,0.0,12.71,0.0,-32.48,28887,14278,-5948,116.3,-10.46
171,-3.44,-63.33,1.39,0.0,9.98,0.0,-31.66,28472,15080,-5968,117.91,-10.49
172,-3.37,-60.23,1.6,0.0,6.2,0.0,-30.12,27604,16594,-6028,121.01,-10.6
173,-3.0,-54.8,2.09,0.0,0.71,0.0,-27.4,25858,19183,-6084,126.57,-10.7
174,-0.7,-46.06,1.42,0.0,-7.23,0.0,-23.03,22680,23031,-5370,135.44,-9.43
175,2.24,-32.33,-0.37,0.0,-18.87,0.0,-16.17,16678,27926,-3958,149.15,-6.94
176,3.41,-14.58,-0.67,0.0,-20.0,0.0,-7.29,7391,31761,-3202,166.9,-5.61
177,4.05,4.21,2.04,0.0,-20.0,0.0,2.11,-3482,32469,-2703,-173.88,-4.73
178,4.86,20.42,7.02,0.0,-20.0,0.0,10.21,-12847,30045,-2430,-156.85,-4.25
179,7.81,30.95,11.28,0.0,-20.0,0.0,15.48,-18379,27105,-1085,-145.86,-1.9
180,10.24,35.96,13.18,0.0,-20.0,0.0,17.98,-20780,25334,-153,-140.64,-0.27
181,9.4,36.3,12.33,0.0,-18.19,0.0,18.15,-20829,25287,-563,-140.52,-0.98
182,5.93,33.87,9.15,0.0,-13.86,0.0,16.93,-19535,26219,-2137,-143.31,-3.74
183,2.39,29.19,4.96,0.0,-7.99,0.0,14.59,-17016,27739,-3827,-148.47,-6.71
184,0.57,23.34,1.42,0.0,-1.85,0.0,11.67,-13814,29321,-4805,-154.77,-8.43
185,1.07,17.49,-0.09,0.0,3.6,0.0,8.75,-10596,30672,-4537,-160.94,-7.96
186,2.78,12.94,-0.66,0.0,7.35,0.0,6.47,-8080,31555,-3556,-165.64,-6.23
187,4.69,9.62,-0.86,0.0,9.62,0.0,4.81,-6253,32069,-2483,-168.97,-4.35
188,6.64,6.94,-0.48,0.0,11.04,0.0,3.47,-4771,32390,-1330,-171.62,-2.33
189,7.92,5.22,0.13,0.0,11.4,0.0,2.61,-3884,32530,-591,-173.19,-1.03
190,8.98,3.96,0.54,0.0,11.34,0.0,1.98,-3219,32608,16,-174.36,0.03
191,10.14,2.91,1.12,0.0,11.06,0.0,1.45,-2663,32650,730,-175.34,1.28
192,10.28,2.36,1.47,0.0,10.38,0.0,1.18,-2392,32669,827,-175.81,1.45
193,8.99,2.21,1.3,0.0,9.51,0.0,1.1,-2297,32686,105,-175.98,0.18
194,5.8,2.19,1.21,0.0,8.6,0.0,1.1,-2264,32647,-1645,-176.03,-2.88
195,-2.03,2.97,1.54,0.0,7.08,0.0,1.48,-2709,32107,-5956,-175.18,-10.47
196,-17.15,4.65,1.05,0.0,5.01,0.0,2.33,-3724,29294,-14199,-172.76,-25.68
197,-36.36,3.59,-3.23,0.0,4.5,0.0,1.79,-2740,22971,-23204,-173.2,-45.09
198,-54.97,-1.36,-8.08,0.0,5.26,0.0,-0.68,583,14215,-29516,177.65,-64.27
199,-66.57,-6.15,-9.64,0.0,6.16,0.0,-3.07,3470,7840,-31624,156.13,-74.83
200,-70.18,-7.9,-9.78,0.0,6.07,0.0,-3.95,4445,5963,-31911,143.3,-76.88
201,-71.18,-7.4,-9.55,0.0,5.51,0.0,-3.7,4128,5419,-32050,142.7,-78.0
202,-71.03,-5.79,-8.76,0.0,5.16,0.0,-2.9,3132,5559,-32139,150.6,-78.77
203,-70.21,-3.84,-7.31,0.0,5.3,0.0,-1.92,1902,6039,-32149,162.52,-78.86
204,-67.93,-1.72,-5.66,0.0,5.51,0.0,-0.86,566,7278,-31943,175.55,-77.13
205,-61.44,0.58,-3.53,0.0,5.99,0.0,0.29,-923,10731,-30945,-175.08,-70.81
206,-47.41,3.03,-0.63,0.0,6.81,0.0,1.52,-2564,17957,-27287,-171.87,-56.39
207,-28.78,4.77,2.17,0.0,7.25,0.0,2.38,-3882,25701,-19950,-171.41,-37.51
208,-9.14,3.36,4.4,0.0,9.11,0.0,1.68,-3259,31001,-10099,-174.0,-17.95
209,9.08,0.14,5.17,0.0,11.73,0.0,0.07,-1459,32732,369,-177.45,0.65
210,21.05,-2.94,5.2,0.0,13.57,0.0,-1.47,263,32002,7034,179.53,12.4
211,29.22,-5.67,4.73,0.0,14.79,0.0,-2.84,1885,30609,11541,176.48,20.62
212,33.08,-7.16,4.81,0.0,14.48,0.0,-3.58,2726,29716,13536,174.76,24.4
213,33.31,-7.24,4.95,0.0,13.02,0.0,-3.62,2737,29676,13621,174.73,24.56
214,31.47,-6.57,5.01,0.0,11.19,0.0,-3.28,2352,30119,12687,175.53,22.78
215,27.89,-5.4,4.7,0.0,9.33,0.0,-2.7,1717,30893,10787,176.82,19.22
216,22.41,-3.81,4.01,0.0,7.45,0.0,-1.9,902,31802,7842,178.38,13.85
217,13.28,-1.2,3.43,0.0,4.79,0.0,-0.6,-522,32648,2739,-179.08,4.79
218,-0.95,2.04,1.95,0.0,1.83,0.0,1.02,-2278,32236,-5416,-175.96,-9.51
219,-19.52,3.71,-1.38,0.0,0.1,0.0,1.85,-2962,28691,-15546,-174.11,-28.32
220,-37.15,2.24,-6.02,0.0,-0.07,0.0,1.12,-1668,22565,-23699,-175.77,-46.33
221,-47.98,-0.57,-9.34,0.0,0.14,0.0,-0.28,269,17666,-27595,179.13,-57.37
222,-51.41,-2.22,-10.48,0.0,0.36,0.0,-1.11,1278,16087,-28516,175.46,-60.49
223,-51.96,-2.89,-10.62,0.0,0.6,0.0,-1.44,1671,15823,-28644,173.97,-60.95
224,-51.47,-2.79,-10.24,0.0,0.76,0.0,-1.4,1585,16054,-28520,174.36,-60.51
225,-49.57,-2.01,-9.39,0.0,0.85,0.0,-1.01,1051,16976,-28006,176.46,-58.73
